"Fx"	"z"	"Lx"
3.94755610799809e-12	0.045	1.87941487146388e+43
4.53536733873434e-12	0.045	2.15926932785042e+43
4.54656351124929e-12	0.045	2.16459977852735e+43
4.62999159850401e-12	0.045	2.20431954022158e+43
5.47355281849055e-11	0.045	2.60593549157456e+44
7.42671621831408e-14	0.055	5.3585592192093e+41
7.03847063381325e-14	0.055	5.07843043887245e+41
7.88966000933219e-14	0.055	5.69258460087373e+41
7.03344622106827e-14	0.055	5.07480520095514e+41
7.60014682513597e-14	0.055	5.48369368641659e+41
6.89630964699175e-14	0.055	4.97585777497212e+41
7.09707992276513e-14	0.055	5.12071848872009e+41
7.26142553566005e-14	0.055	5.23929790837572e+41
6.71935802035741e-14	0.055	4.84818280498777e+41
7.25484999713904e-14	0.055	5.23455349489239e+41
9.927478285981e-14	0.055	7.16292082921672e+41
8.52124549838648e-14	0.055	6.14828913375259e+41
6.74052353827925e-14	0.055	4.86345424903591e+41
6.61901684813864e-14	0.055	4.7757841704293e+41
7.05083479894461e-14	0.055	5.08735148945589e+41
1.00167641780106e-13	0.055	7.22734280601188e+41
7.19304637989778e-14	0.055	5.18996065827208e+41
1.13124201821752e-13	0.055	8.16219062057081e+41
7.09311705513237e-14	0.055	5.11785918182539e+41
9.24926439881415e-14	0.055	6.67357275520364e+41
6.96890307823366e-14	0.055	5.02823572894269e+41
7.32608045157871e-14	0.055	5.28594802742952e+41
1.1899525757111e-13	0.055	8.58580179659274e+41
8.67110775745578e-14	0.055	6.25641845582996e+41
8.26284493816564e-14	0.055	5.96184674609198e+41
1.00785702719879e-13	0.055	7.27193742965844e+41
6.7947734120403e-14	0.055	4.9025968731295e+41
9.48324066817022e-14	0.055	6.84239241363389e+41
8.39877701686533e-14	0.055	6.05992509890507e+41
7.58239628363548e-14	0.055	5.47088623221916e+41
9.03114137062174e-14	0.055	6.51619160190739e+41
1.10679156515784e-13	0.055	7.9857745615679e+41
9.03220631357743e-14	0.055	6.516959984558e+41
7.21945020707671e-14	0.055	5.20901167185507e+41
1.30530935830407e-13	0.055	9.41812948044524e+41
1.52861959125527e-13	0.055	1.10293679771763e+42
8.79924848119904e-14	0.055	6.34887515356635e+41
9.22621541895098e-14	0.055	6.65694234683627e+41
1.20300618281158e-13	0.055	8.67998679655238e+41
1.09440392268145e-13	0.055	7.89639466088926e+41
9.62743875109932e-14	0.055	6.94643489269975e+41
8.73459392024723e-14	0.055	6.3022252906299e+41
8.56921178215318e-14	0.055	6.18289799243706e+41
1.0771287336282e-13	0.055	7.77174990425158e+41
1.20949206756817e-13	0.055	8.72678405732758e+41
9.74649079203341e-14	0.055	7.03233388126483e+41
7.31574768968841e-14	0.055	5.27849268446776e+41
1.23898903203485e-13	0.055	8.93961194280924e+41
8.98666507189721e-14	0.055	6.48410085364654e+41
1.33689174981731e-13	0.055	9.64600423724639e+41
1.09629544651333e-13	0.055	7.91004247261351e+41
1.04238407061925e-13	0.055	7.52105857740946e+41
1.3695969492012e-13	0.055	9.88198033020988e+41
1.07387776537603e-13	0.055	7.74829336520133e+41
1.06754069862129e-13	0.055	7.70256986307315e+41
1.10624452762016e-13	0.055	7.98182755059475e+41
1.04409826485855e-13	0.055	7.53342691231616e+41
1.3356485577595e-13	0.055	9.6370342994343e+41
1.20736586072878e-13	0.055	8.71144294972865e+41
1.65563838032903e-13	0.055	1.19458399187398e+42
1.89956588691299e-13	0.055	1.37058371379697e+42
1.4682265993708e-13	0.055	1.05936176213997e+42
8.79958157937091e-14	0.055	6.34911549212613e+41
1.09357859883189e-13	0.055	7.89043974542877e+41
1.58052592962419e-13	0.055	1.14038850313169e+42
1.58791679711753e-13	0.055	1.14572119661023e+42
1.31647178561549e-13	0.055	9.49866915103454e+41
1.17157547504197e-13	0.055	8.45320647543309e+41
1.17640374914857e-13	0.055	8.48804366587667e+41
1.67910076735736e-13	0.055	1.21151268372372e+42
1.36662578420412e-13	0.055	9.86054264076692e+41
1.80561074658619e-13	0.055	1.30279275900745e+42
1.79524725684336e-13	0.055	1.29531524514101e+42
1.58154732634913e-13	0.055	1.14112546610106e+42
1.32779565542554e-13	0.055	9.58037366913388e+41
1.43500543469849e-13	0.055	1.03539187114176e+42
1.25287566932222e-13	0.055	9.03980746135689e+41
1.56367945878894e-13	0.055	1.12823335825315e+42
8.54728046306326e-14	0.055	6.16707400392798e+41
8.82843546978976e-14	0.055	6.36993428686244e+41
1.82138352191074e-13	0.055	1.31417320605072e+42
1.74100058967002e-13	0.055	1.25617493467967e+42
1.94650531590136e-13	0.055	1.40445167139171e+42
1.87126815294853e-13	0.055	1.35016619968163e+42
1.8913875870262e-13	0.055	1.36468286839402e+42
1.49295343124515e-13	0.055	1.07720278218264e+42
1.72171934223206e-13	0.055	1.24226303833418e+42
2.5089464967678e-13	0.055	1.81026687778976e+42
2.16107802349536e-13	0.055	1.55927118067e+42
1.6022142902971e-13	0.055	1.15603719114091e+42
1.45949957899396e-13	0.055	1.05306500134801e+42
2.60996131752998e-13	0.055	1.88315156641393e+42
1.72828247328908e-13	0.055	1.24699849952573e+42
1.9892959774648e-13	0.055	1.43532619079928e+42
1.3929666272174e-13	0.055	1.00505983302822e+42
1.85262714146186e-13	0.055	1.33671624939123e+42
1.75084481258432e-13	0.055	1.2632777847015e+42
2.40508578503308e-13	0.055	1.73532880852473e+42
2.60320038484054e-13	0.055	1.87827338645815e+42
2.0668746979568e-13	0.055	1.4913011541191e+42
2.57405911627837e-13	0.055	1.85724724129211e+42
1.96285918116446e-13	0.055	1.41625138918074e+42
2.04872469462536e-13	0.055	1.47820547834243e+42
